slug,name,manager,style_name,period,n_positions,hhi,top1_w,top10_w,turnover,new_frac,sold_frac,book_growth,crowding,excess_12,excess_36,vol_12,mdd_12,alpha36_t,p_persist,p_logistic,p_xgboost,rank_xgboost,rank_logistic,rank_persist
canyon,Canyon Capital,Josh Friedman,Event-driven / credit,2026-03-31,2.9444389791664403,0.20637691643610853,0.42143072481639776,0.8855880197985957,0.27721530394625615,0.47368421052631576,0.2857142857142857,0.014727012006576428,3.1607226398541024,0.4864676256464738,-0.32581424832824124,0.17485666911240857,-0.041531508876680556,-0.2791839513169842,0.05970149253731343,0.4967292061696238,0.40494245290756226,51,41,64
soroban,Soroban Capital,Eric Mandelblatt,Concentrated long / value,2026-03-31,3.295836866004329,0.06338572556130447,0.12466424630028508,0.7160087597100617,0.21459097192798304,0.07407407407407407,0.10714285714285714,0.022116836196429325,19.038603054856036,-0.0056538437559501276,0.05938432655080994,0.15668253692886783,-0.07533044127266508,1.5193666835729063,0.373134328358209,0.31036363110552373,0.380504846572876,52,65,43
altimeter,Altimeter Capital,Brad Gerstner,Long/short equity,2026-03-31,2.5649493574615367,0.1571573846198174,0.2856857351791472,0.9853705401252089,0.21483641983795942,0.15384615384615385,0.3888888888888889,-0.15607454827010703,25.104228885307833,-0.13876777459535394,-0.006691260732913262,0.24022970210756725,-0.22605866579477885,-0.6728050188146967,0.6716417910447762,0.3611651819426529,0.3776129484176636,53,63,23
starboard,Starboard Value,Jeffrey Smith,Activist,2026-03-31,3.1354942159291497,0.0680702723709093,0.12725390847228282,0.7482826858811572,0.21719857560041855,0.17391304347826086,0.13636363636363635,-0.14467904028635395,4.766289978086751,-0.20332791490637125,-0.43870650185820026,0.14818493326875956,-0.12433158156483437,-1.6553215387846092,0.8059701492537313,0.5184169501299694,0.3671373426914215,54,35,14
akre,Akre Capital,Chuck Akre,Concentrated long / value,2026-03-31,2.9444389791664403,0.09509187555786237,0.1863638812220989,0.8770859279880229,0.09279310409524766,0.15789473684210525,0.1111111111111111,-0.39966409921547624,11.418991386071337,-0.44970823794398107,-0.5854111594468645,0.1369474969978006,-0.21436077051356406,-1.7996294332889824,0.9701492537313433,0.452926386076323,0.35830971598625183,55,51,3
eminence,Eminence Capital,Ricky Sandler,Long/short equity,2026-03-31,3.4965075614664802,0.044307820796814376,0.07719595170919266,0.5555740138519394,0.4089411496088945,0.24242424242424243,0.358974358974359,-0.37156589400667195,10.538230478514867,-0.32126328469775434,-0.4168891833048422,0.18048279108954737,-0.2300823895119105,-1.4852506704013828,0.9253731343283582,0.37364564136333744,0.3582357168197632,56,60,6
polen,Polen Capital,Dan Davidowitz,Concentrated long / value,2026-03-31,5.3981627015177525,0.04336108115198688,0.07287288636105593,0.563291592404911,0.14416584846183378,0.31221719457013575,0.341991341991342,-0.482287694606505,16.35676059205813,-0.2984344318912065,-0.5168050132853923,0.16228777366070926,-0.1992709895229764,-2.8748737782428093,0.9104477611940298,0.5012276016851791,0.34926462173461914,57,40,7
coatue,Coatue Management,Philippe Laffont,Long/short equity,2026-03-31,4.127134385045092,0.051072711479653456,0.10797671148090057,0.6373529209342927,0.26122807122110403,0.41935483870967744,0.3076923076923077,-0.31871901308886863,17.805409036263427,0.0035149241485741833,0.49714652516065105,0.24443245716432752,-0.16349842217099053,0.8498216368157954,0.3283582089552239,0.5090642578800635,0.3490285575389862,58,38,46
tci,TCI Fund Management,Chris Hohn,Concentrated long / value,2026-03-31,2.302585092994046,0.1791109350089869,0.2984674584931167,1.0,0.1289227572201589,0.1,0.0,-0.1720069768837027,14.626077967070145,-0.18841046620555812,-0.15953130865326592,0.1413558886058855,-0.11104304817305599,-0.9915286124445589,0.7910447761194029,0.527824850476006,0.3469800651073456,59,31,15
valueact,ValueAct Capital,Mason Morfit,Activist,2026-03-31,2.8903717578961645,0.07677447132421826,0.12255010973736946,0.8091306666805329,0.18810247708803185,0.16666666666666666,0.0625,-0.2068284264492842,14.972375694597265,-0.3871654877979992,-0.2237535703017247,0.18752346666380015,-0.24322669308653533,-0.4709442011983308,0.9402985074626866,0.3773847898037923,0.3410605490207672,60,59,5
baupost,Baupost Group,Seth Klarman,Concentrated long / value,2026-03-31,3.091042453358316,0.06843665994776506,0.12697844539408606,0.7393763513170087,0.2537251064197198,0.2727272727272727,0.2727272727272727,-0.03140732865641246,13.013590388201855,0.10571779797081388,-0.18500659109087325,0.1840848693285079,-0.07262985636957164,0.17558517486778522,0.22388059701492538,0.36481525694192873,0.3405393660068512,61,62,53
engaged,Engaged Capital,Glenn Welling,Activist,2026-03-31,2.0794415416798357,0.175201499395312,0.2620053296659453,1.0,0.1024747240842645,0.0,0.1111111111111111,-0.2562206010950579,3.353518106559985,-0.1429209023792086,-0.9465997406353951,0.22627089304343787,-0.12389945501456945,-1.4728669947506572,0.6865671641791045,0.3704142687667336,0.335618793964386,62,61,22
impactive,Impactive Capital,Lauren Taylor Wolfe,Activist,2026-03-31,2.302585092994046,0.13307101702255392,0.195021335580916,1.0,0.28840241107485554,0.4,0.25,-0.13021663939416384,3.5261931306106136,-0.13140843300306607,-0.5682299422829327,0.10616678380210334,-0.051213609659041315,-1.799436171422279,0.6417910447761194,0.4692316329872454,0.31241509318351746,63,44,25
dragoneer,Dragoneer Investment Group,Marc Stad,Long/short equity,2026-03-31,2.833213344056216,0.1338260764909462,0.21659922650757477,0.9427552731888752,0.37758082671566784,0.058823529411764705,0.4074074074074074,-0.42370036479481754,15.920150756765072,-0.479526735101634,-0.6932133319491398,0.18914795158029488,-0.2960504733758923,-1.0958957183499016,0.9850746268656716,0.18597120861889416,0.29343780875205994,64,67,2
fundsmith,Fundsmith,Terry Smith,Concentrated long / value,2026-03-31,3.5263605246161616,0.06051724713791042,0.08594723509690455,0.688462599527261,0.10267738929096337,0.029411764705882353,0.10810810810810811,-0.28840689315244833,12.76000750846816,-0.270317329577939,-0.5103207619569765,0.1315775597986315,-0.10702714985248374,-3.1077107682173386,0.8955223880597015,0.5868794547390074,0.25453051924705505,65,16,8
pershing-square,Pershing Square,Bill Ackman,Activist,2026-03-31,2.3978952727983707,0.14416518342615225,0.17616254803282663,0.9993211433981785,0.2067871282112006,0.09090909090909091,0.09090909090909091,-0.12412448332855279,19.910323576014452,-0.1352032519894098,-0.4336749618933931,0.17752214944578656,-0.11794309788271051,-2.358552987948938,0.6567164179104478,0.3908679853477095,0.2390453964471817,66,58,24
himalaya,Himalaya Capital,Li Lu,Concentrated long / value,2026-03-31,2.6390573296152584,0.15344087614421903,0.22845970572694185,0.955861063314011,0.11849800426754553,0.35714285714285715,0.0,-0.10871663049770276,17.64817370096126,0.11051348120714422,0.25868409940784565,0.20634790684501467,-0.07703883065804429,0.4994803740301022,0.19402985074626866,0.5205851531208034,0.23098361492156982,67,34,55
